,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,clusters,id,artist,song_title
22,0.351,0.115,-18.128,0.0392,0.843,0.304,0.103,0.346,135.8,182933,0,19,6,5g9SPy5TPtDLQdrpzUkZeZ,"['Antonio Vivaldi', 'Chiara Banchini', 'Ensemble 415']","Concerto for Strings in C Major, RV 114: III. Ciaccona"
23,0.491,0.588,-6.177,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,269600,0,0,9,7d82OX0tV6wP1Cy7ZQVl1o,['P!nk'],What About Us
24,0.179,0.977,-4.164,0.105,3.43e-05,0.444,0.278,0.198,174.161,234760,0,51,9,1scT2ygrMOMDXBVAiYaxte,['Alexisonfire'],Reverse the Curse
25,0.727,0.849,-5.808,0.0711,0.0155,0.807,0.101,0.716,93.836,184320,0,0,11,4hmzPogQsZ8NjykB2GPn16,['makita'],Loketo
26,0.681,0.408,-9.324,0.041,0.679,0.0,0.145,0.814,119.915,190400,0,25,6,1RIQw2QuIglFKwBgzRidIe,"['Patsy Montana', 'Prairie Ramblers']",I Want to Be a Cowboy's Sweetheart
27,0.769,0.646,-6.653,0.199,0.0566,0.0,0.406,0.433,90.079,278693,1,62,4,5dL5jv5GSCRoDhTtnY8maL,"['Ja Rule', 'Ashanti']",Mesmerize
28,0.422,0.289,-16.793,0.0422,0.981,0.877,0.0706,0.516,107.438,307133,0,0,3,11adQEQZ0iMekdOxbUTcmX,"['Ludwig van Beethoven', 'Annie Fischer']","Piano Sonata No. 3 in C Major, Op. 2, No. 3: IV. Allegro assai"
29,0.572,0.778,-5.208,0.233,0.00638,0.0,0.0563,0.54,168.073,225520,0,64,9,0Oa9mHOnH14GZ4toWwkf4c,"['G-Eazy', 'Kehlani']",Good Life (with G-Eazy & Kehlani)
30,0.595,0.726,-6.337,0.282,0.106,0.0,0.131,0.322,106.174,308812,1,10,4,1zQnEunz8U8uOuOaSCxoJW,"['Los WaraOs', 'The Cypher Effect']",Más Fuerte / Untitled (TCE Mic Check)
31,0.811,0.467,-7.277,0.304,0.253,0.00281,0.114,0.147,138.02,89130,0,16,8,3v7Of6tUoqr6K6uvKIsJZ7,"['Skofi', 'Skyfarmer']",Bunker
32,0.804,0.413,-15.954,0.0397,0.356,6.34e-06,0.146,0.72,109.977,234533,0,24,11,3J5NN2yxIvqzG5WbpCID1D,['Rainmakers'],Miss Maganda
33,0.371,0.165,-14.972,0.0309,0.957,0.00612,0.112,0.186,96.986,215477,0,1,6,7eTCOQlo6rLjSbCeu0Dm9C,"['Clara Bellar', 'Dori Caymmi']",Plus fort que nous
34,0.586,0.815,-6.481,0.036,0.035,0.0564,0.0925,0.618,144.407,227000,0,0,11,03yokxy2Blk8eogtmtvfa8,['Buddy Dee & The Ghostriders'],Take Me to the Mountains
35,0.243,0.21,-15.848,0.0395,0.857,0.0,0.358,0.149,94.998,166693,0,48,6,7ehev4SnmCKwN2Qy5LFX5J,"['Irwin Kostal', 'Julie Andrews']",Prelude / The Sound Of Music - Medley
36,0.439,0.601,-9.983,0.0318,0.00673,7.42e-06,0.137,0.754,142.887,145840,0,0,11,2w7RtPiXJiOSVOTbW5ncIo,['Ghost Dance'],Heart Full Of Soul
37,0.49,0.974,-3.534,0.174,0.00011,0.000987,0.253,0.274,166.079,203427,0,2,9,4phlqfMeDruW6YtBHE2QuQ,['M.A.S.A.C.R.E'],Sentencia
38,0.172,0.919,-27.288,0.0732,0.836,0.975,0.919,0.0193,76.297,179347,0,2,5,6VH9ySsMuBJhwm7vkBZ7hF,['Karlchens Spieluhrenorchester'],Funkelndes Wasser
39,0.766,0.633,-5.432,0.134,0.545,1.44e-05,0.13,0.615,90.088,208048,0,35,1,6Zpa7h8uE0qeHlF0qQq0BE,['Miwata'],Honig
40,0.641,0.65,-6.795,0.0529,0.00169,2.97e-05,0.214,0.516,133.934,252389,0,13,11,5wvLVrLJerIw06W4KauyZq,"['J emm Dahon', 'MackyDogg', 'SHRLYANNE', 'Hood 047']",Tayo na Agad
41,0.633,0.184,-13.316,0.0467,0.607,1.05e-06,0.115,0.221,106.876,191960,0,13,6,5Pg7P6GJ6oRlBCCwJYbzio,['Karate'],Remain Relaxed
42,0.713,0.689,-5.99,0.255,0.16,0.0,0.136,0.63,156.934,171319,1,82,4,1oc92BMKYkNxK17C2GtyRM,['Polo G'],Distraction
43,0.585,0.928,-4.939,0.0607,0.0043,0.0,0.275,0.547,104.007,196052,0,39,1,1wXOOkKWKyo5WAoKjmASsd,['Skindred'],That's My Jam
44,0.83,0.398,-14.846,0.408,0.0425,0.0,0.635,0.597,110.01,121443,1,34,4,74xPZW1tbiYpL4A42tRUQJ,"['$peedyyy', 'Remble']",BeatBox Freestyle
45,0.75,0.361,-13.584,0.957,0.554,0.0,0.313,0.486,81.145,203964,0,16,8,0t3uXMNUxqxCgE3iULGgYr,['Tommy Jaud'],Kapitel 17 - Der Löwe büllt
46,0.953,0.344,-16.675,0.33,0.0434,0.00543,0.203,0.608,119.045,146638,1,2,4,5OPw4oPYtoE9n5W4js5jw1,['RS'],The Shooter
47,0.654,0.798,-4.084,0.045,0.188,0.0,0.15,0.576,92.209,211760,0,0,11,1AizuXjEAgOmgwfx5t8JMa,"['Rudimental', 'Jess Glynne', 'Macklemore', 'Dan Caplen']",These Days
48,0.752,0.544,-10.373,0.0314,0.343,0.0811,0.109,0.723,115.803,219267,0,54,1,0hgEsoAu23ap8V5GFX9Y3i,['Death Cab for Cutie'],Title and Registration
49,0.674,0.862,-6.431,0.0344,0.00123,0.0643,0.298,0.806,123.004,212684,0,39,1,30oRPNefnSnXEBL2aOifIS,"['Raze', 'Rob Made']",Break 4 Love - Rob Made Disco Edit
50,0.362,0.68,-9.642,0.0395,0.000265,0.779,0.259,0.672,188.731,184033,0,0,7,3ZvL1n5QU0h9x9zQVO600f,['Sing Karaoke Sing'],I'll Be There for You (Karaoke Version) - Originally Performed By the Rembrandts
51,0.238,0.958,-6.062,0.102,0.000368,0.365,0.69,0.545,149.13,210053,0,24,5,1wGHZKA8h2rtJ9meNZw7M4,['Nirvana'],"Love Buzz - Live In Melbourne, Australia For Triple J/1992"
52,0.181,0.282,-18.845,0.0402,0.993,0.947,0.164,0.843,181.692,66907,0,8,12,1XolSpGCF9t7MuZt2AOYte,"['Johann Sebastian Bach', 'Lang Lang']","Goldberg Variations, BWV 988: Variatio 6 Canone alla Seconda. a 1 Clav. - Live at Thomaskirche Leipzig / 2020"
53,0.601,0.542,-11.356,0.0358,0.884,0.000155,0.166,0.584,130.001,352000,0,6,6,20qsKLOlocPVb18UDd5Csl,"['Jeff Hurley', 'Maeve McCambridge', 'Alan Watts']",Sleep Now
54,0.564,0.107,-18.713,0.0293,0.824,0.148,0.157,0.224,111.773,243387,0,1,6,3XxiBb6Snt9B0FGYk3tIWy,['Ian Fisher'],My Eyes Have Seen the Glory
55,0.734,0.918,-7.811,0.0688,0.0602,0.0,0.0414,0.82,143.823,180067,0,35,1,2i1QSzAOX3zKIQJKVHbBLm,['The Miracles'],Love Machine - Pt. 1
56,0.563,0.707,-15.064,0.0516,0.0262,0.0786,0.179,0.336,149.791,262240,0,11,9,6Qh9FlJ7kBgJfrBStQpGQD,['Hardstyle Germany'],Detonate
57,0.678,0.59,-10.638,0.0315,0.0512,0.94,0.0931,0.201,119.99,150000,0,0,10,22Sa5Ekv9lSlkycwEhRq7V,['Rainman'],Prisms
58,0.532,0.048,-18.203,0.0401,0.948,3.34e-06,0.125,0.242,68.301,194000,0,18,6,1zdV024oMgDEJyb6LfWiiC,['Peggy Lee'],Everybody Loves Somebody
59,0.535,0.335,-20.301,0.0458,0.991,0.951,0.16,0.863,99.036,134075,0,11,3,3iGUItjBIHwxgrZmj0yjy8,['Folk Piano Folks'],The Snow Shoe Tramp
60,0.362,0.918,-6.261,0.0721,0.00186,2.44e-06,0.297,0.58,103.461,194293,0,1,11,7gmUoLtuvFloYgFwT94Lrz,['BluefisH'],Come Take My Hand
61,0.633,0.414,-11.133,0.0288,0.791,0.0699,0.103,0.292,120.536,354000,0,41,6,64z0EqhVCYOCbEbY7GqECc,['Mark Knopfler'],5:15 AM
62,0.376,0.426,-11.311,0.0593,0.612,0.00504,0.085,0.359,139.229,113096,0,9,6,0FmuZFCMGqGE5TpICps0NM,['Beícoli'],The Picture
63,0.791,0.41,-9.732,0.127,0.888,0.901,0.106,0.116,116.98,365816,0,10,3,43twmeJLZBfJUc3kzQqMgg,"['KIDSØ', 'The Mountain Howl']",Sparkle - The Mountain Howl Remix
64,0.703,0.868,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03,193613,1,72,0,1NDxZ7cFAo481dtYWdrUnR,"['Maggie Lindemann', 'Cheat Codes', 'CADE']",Pretty Girl - Cheat Codes X CADE Remix
65,0.404,0.254,-9.988,0.0312,0.898,0.000116,0.0866,0.171,112.214,222333,0,0,6,7KgyMa3m40GQaszuUKfxRK,['Charles Lew'],Even the Praise Comes from You
66,0.475,0.803,-8.33,0.0913,0.541,0.667,0.348,0.544,102.236,260320,0,0,5,5yAPZdmy66PrXozM2CVBif,['Groupa'],Lavalek
67,0.574,0.459,-16.931,0.0661,0.855,0.949,0.525,0.907,180.151,223309,0,2,5,2EuQ3v8QsNQCSaZljah7PD,['Kanooma Beat Project'],Maverick
68,0.51,0.843,-5.628,0.0275,0.00104,1.21e-05,0.0882,0.479,156.06,274615,1,45,0,53S6LBUl9MUX5uWcToKSHw,['Five Finger Death Punch'],Blue On Black
69,0.609,0.471,-12.01,0.0517,0.0892,0.000478,0.606,0.19,117.002,191730,0,24,5,2qZGBVIT6R0lBL1E9DkfqM,['Clarence James'],I'm Melting
