danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981,audio_features,4Y4Gd3ty8uut6Qw43c7yJc,spotify:track:4Y4Gd3ty8uut6Qw43c7yJc,https://api.spotify.com/v1/tracks/4Y4Gd3ty8uut6Qw43c7yJc,https://api.spotify.com/v1/audio-analysis/4Y4Gd3ty8uut6Qw43c7yJc,166827,4
0.719,0.967,0,-2.435,1,0.0552,0.0588,0.000249,0.206,0.964,79.505,audio_features,5WQ1hIc5d2EVbRQ8qsj8Uh,spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh,https://api.spotify.com/v1/tracks/5WQ1hIc5d2EVbRQ8qsj8Uh,https://api.spotify.com/v1/audio-analysis/5WQ1hIc5d2EVbRQ8qsj8Uh,235213,4
0.359,0.949,0,-7.649,1,0.101,0.0556,0.000396,0.236,0.212,134.118,audio_features,3JS4Guc7Hld2JomrBybQIt,spotify:track:3JS4Guc7Hld2JomrBybQIt,https://api.spotify.com/v1/tracks/3JS4Guc7Hld2JomrBybQIt,https://api.spotify.com/v1/audio-analysis/3JS4Guc7Hld2JomrBybQIt,212480,4
0.541,0.854,2,-6.196,1,0.155,0.0254,0.000125,0.651,0.454,86.044,audio_features,5QlGALr14YMN0xIDmIwleg,spotify:track:5QlGALr14YMN0xIDmIwleg,https://api.spotify.com/v1/tracks/5QlGALr14YMN0xIDmIwleg,https://api.spotify.com/v1/audio-analysis/5QlGALr14YMN0xIDmIwleg,205200,4
0.653,0.797,0,-6.958,1,0.048,0.0738,0.0,0.0847,0.726,133.725,audio_features,5BXoDYim9Upsv8dsuSJQPa,spotify:track:5BXoDYim9Upsv8dsuSJQPa,https://api.spotify.com/v1/tracks/5BXoDYim9Upsv8dsuSJQPa,https://api.spotify.com/v1/audio-analysis/5BXoDYim9Upsv8dsuSJQPa,199733,4
0.566,0.673,9,-10.814,1,0.306,0.565,1.13e-06,0.0438,0.583,114.385,audio_features,4sFbojhVXQv7dBC9PVCcRn,spotify:track:4sFbojhVXQv7dBC9PVCcRn,https://api.spotify.com/v1/tracks/4sFbojhVXQv7dBC9PVCcRn,https://api.spotify.com/v1/audio-analysis/4sFbojhVXQv7dBC9PVCcRn,377747,4
0.39,0.502,10,-12.277,1,0.178,0.336,0.000138,0.0713,0.289,97.871,audio_features,5EuraV2jbqB15ihd3d2Hex,spotify:track:5EuraV2jbqB15ihd3d2Hex,https://api.spotify.com/v1/tracks/5EuraV2jbqB15ihd3d2Hex,https://api.spotify.com/v1/audio-analysis/5EuraV2jbqB15ihd3d2Hex,247320,4
0.532,0.591,0,-3.81,0,0.0591,0.782,0.0,0.0647,0.962,184.4,audio_features,3Os0VNtvEnRFlXSK5dvOFu,spotify:track:3Os0VNtvEnRFlXSK5dvOFu,https://api.spotify.com/v1/tracks/3Os0VNtvEnRFlXSK5dvOFu,https://api.spotify.com/v1/audio-analysis/3Os0VNtvEnRFlXSK5dvOFu,146640,4
0.346,0.335,7,-12.453,1,0.0339,0.575,0.00674,0.185,0.213,84.204,audio_features,0AJ62x1CXjJf3VW25CeZXa,spotify:track:0AJ62x1CXjJf3VW25CeZXa,https://api.spotify.com/v1/tracks/0AJ62x1CXjJf3VW25CeZXa,https://api.spotify.com/v1/audio-analysis/0AJ62x1CXjJf3VW25CeZXa,478173,4
0.947,0.607,10,-10.58,0,0.202,0.0249,4.76e-06,0.0861,0.732,100.619,audio_features,5DuTNKFEjJIySAyJH1yNDU,spotify:track:5DuTNKFEjJIySAyJH1yNDU,https://api.spotify.com/v1/tracks/5DuTNKFEjJIySAyJH1yNDU,https://api.spotify.com/v1/audio-analysis/5DuTNKFEjJIySAyJH1yNDU,431800,4
