,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
47,0.551,0.618,-8.034,0.0606,0.00169,0.39,0.0813,0.0756,174.021,07BwnbP2BneDO02imOLSIY,291715
48,0.472,0.89,-5.237,0.0482,0.00026,0.842,0.168,0.119,174.021,7zckXyvE4mKz7DuTNNljWD,316085
49,0.508,0.912,-3.586,0.0646,0.00324,0.727,0.222,0.0377,174.978,2NOwLCih7YmU7A5IEwmJZe,343057
50,0.47,0.95,-4.483,0.0529,0.0097,0.527,0.0799,0.0593,173.064,4hgr3Zc3GhGaoq9CWxv1I2,286476
51,0.527,0.833,-2.659,0.0403,0.00207,0.894,0.117,0.0574,172.036,4eyAaMXvMgURdvRpiyFlCb,301595
52,0.37,0.968,-3.802,0.0406,0.000552,0.0474,0.367,0.489,174.022,71FqG9HDiaihGUd7ECJwle,204214
53,0.35,0.832,-3.497,0.0418,3.1e-05,0.227,0.0691,0.081,173.888,6fYl5gwptm9smgU76YtevY,329188
54,0.551,0.786,-5.021,0.0337,0.00441,0.0538,0.109,0.356,87.001,4PDHIlIWGWoyvADVDU7SXa,215143
55,0.463,0.921,-3.189,0.0414,0.00364,0.775,0.314,0.038,174.009,0NA91HgDBh4sZXAEcc6S5Y,253993
56,0.497,0.927,-2.772,0.0502,0.00434,0.00148,0.113,0.563,173.98,0laSPpzgD2rNatLXQwTyM2,237284
57,0.477,0.924,-3.68,0.0354,0.00255,0.000317,0.166,0.416,174.0,1H2v0EkQQ98dSK1cSLVC0I,278131
58,0.63,0.78,-7.005,0.046,0.00545,0.885,0.12,0.0398,174.018,6YBABbOmrOKfkImT6AzEsT,320459
59,0.478,0.947,-3.974,0.0425,0.000404,0.709,0.137,0.0387,173.981,6dORa7jDwkLcq4AaQxLA4t,276234
60,0.413,0.965,-3.16,0.0379,0.00059,0.061,0.2,0.196,174.008,4jaDn9wOPzjbHI3wHCr4Gd,276234
61,0.302,0.901,-2.264,0.0758,0.00466,0.000136,0.181,0.371,173.917,3cf2cIs10OVDxhI3K4uoiO,180547
62,0.497,0.933,-3.661,0.0298,0.0678,0.00497,0.0821,0.341,140.014,4m9IUdUUbnXrnvWvnOcNU8,281517
63,0.348,0.922,-3.48,0.0385,0.00131,0.79,0.0988,0.307,171.937,6ZPpy9nlOq2xDw054bjoS9,248721
64,0.722,0.857,-4.961,0.0426,0.152,0.615,0.0882,0.161,120.005,0oUYV5FcE6mvEoTcQJe4fg,296010
65,0.637,0.938,-6.804,0.0635,1.68e-05,0.927,0.0845,0.0672,174.053,6CH74CDfB2dFqiblNFofDg,292949
66,0.397,0.535,-8.736,0.0636,0.401,0.847,0.0947,0.33,86.145,0GU5tu7BhrU9YGuIU92VB0,274208
67,0.428,0.922,-3.819,0.0726,0.0182,0.00226,0.0887,0.277,174.025,7vDoB0NFH0S2mONtvuGoFC,263751
68,0.671,0.749,-5.425,0.0727,0.000159,0.923,0.131,0.25,173.998,1p7KzGmZKg1YfWRGt8G7Ux,248476
69,0.702,0.871,-5.725,0.0704,0.00295,0.912,0.0952,0.0981,174.023,1PF0Wxssc8ueLguaHsQbHv,272230
70,0.384,0.962,-1.317,0.0546,0.000123,0.775,0.74,0.0343,173.976,1d3s2e1Atykyigz4dhEIMY,287241
71,0.721,0.912,-5.536,0.0979,0.00733,0.00493,0.117,0.21,87.05,1AWZSTg3kw49a9MRnhUdjv,276897
72,0.485,0.947,-6.456,0.0459,0.194,0.725,0.346,0.0731,174.018,4s374WUFj89DiMF2QP1KRO,279912
73,0.369,0.794,-5.744,0.0381,0.00655,0.00743,0.265,0.149,173.974,4GV6rBhB2tdFNo1MmcpfNq,290451
74,0.517,0.94,-3.327,0.0989,0.000182,0.274,0.104,0.0381,172.0,0VAdaiyi6wKTSsTlBXTb8U,280665
75,0.621,0.974,-6.424,0.206,0.0043,0.612,0.0722,0.276,173.916,3S3X4I9ZacNONKEdE5xyWW,274125
