,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.148,0.00885,-33.035,0.0411,0.973,0.833,0.109,0.104,65.045,5M9AzSBre2fWAEzfzcweMV,192143
1,0.16,0.0505,-28.03,0.0392,0.982,0.871,0.101,0.0389,58.63,5fMgTOE9HzrJpdffQfqs4s,142000
2,0.284,0.0766,-25.485,0.032,0.988,0.96,0.0998,0.0815,103.653,7rjqXrSSgJbUnqfeuw5su1,100500
3,0.317,0.149,-20.823,0.0347,0.966,0.92,0.103,0.0772,108.627,2Ta8JoaFTX5YAKSmA6lRZT,159395
4,0.413,0.158,-24.334,0.0627,0.971,0.81,0.116,0.128,101.495,3pXr90q6dLWglH3hFXBx8Q,120500
5,0.356,0.025,-27.79,0.0419,0.99,0.906,0.121,0.0634,73.231,2fxcZyta2BeXV92mae22B3,129091
6,0.501,0.0655,-19.938,0.0466,0.96,0.935,0.115,0.238,71.961,75xdMI1eJaWieuSeTWXNSo,173488
7,0.29,0.0868,-25.856,0.0296,0.962,0.863,0.204,0.283,103.386,7iXC8uTRKlrbwX5Yc9MQAh,160798
8,0.44,0.00965,-27.806,0.0482,0.991,0.986,0.11,0.385,125.476,7JjalzVKsiGDG4I6vS2xNP,37455
9,0.314,0.104,-23.052,0.0384,0.984,0.924,0.119,0.16,79.582,0Lo1NoN6mHctvin89nx0s7,39375
10,0.309,0.0138,-27.679,0.0362,0.976,0.92,0.0982,0.147,78.473,0K26fOvp5cIZug6mp5TYVk,38405
11,0.749,0.0246,-29.098,0.0536,0.996,0.957,0.112,0.525,95.278,6M7iXfhz4z0kjiGbpQajF2,178105
12,0.221,0.316,-18.377,0.0377,0.85,0.921,0.0893,0.106,82.988,30thAa8I4lpzep5ckF21fP,161118
13,0.455,0.0899,-24.069,0.0357,0.983,0.913,0.0975,0.266,107.853,0YmsoBES9JmuhV19QyxG1S,151687
14,0.473,0.0244,-25.205,0.047,0.989,0.96,0.103,0.365,68.635,4hAsaFxI7oNmE0Q4KAdBDw,138000
15,0.379,0.133,-19.919,0.0282,0.934,0.859,0.0941,0.0689,73.07,38vE66dY11rCG2389oc3Tj,140233
16,0.304,0.0073,-35.855,0.0416,0.99,0.974,0.146,0.0393,130.057,4zTnLDP92Ix11ntHouQTFZ,132146
17,0.372,0.0344,-26.014,0.0459,0.985,0.924,0.115,0.0821,81.766,0gwTPTj8Xg2WPg8m4xfj3W,175107
18,0.116,0.222,-12.938,0.0359,0.785,0.938,0.0709,0.0397,88.324,0zaeQZzxIm0ZFP1Msu1Jd5,202952
19,0.357,0.116,-19.226,0.035,0.971,0.938,0.108,0.326,168.033,1YiIASbcBOmKBv7F1cOdwK,187768
20,0.148,0.0353,-31.839,0.0401,0.861,0.928,0.113,0.181,91.36,7BZzZchF2u9hFF5COwgqlk,148364
21,0.167,0.00932,-30.359,0.0372,0.993,0.898,0.22,0.148,66.674,4Js2jjzX4ftH2yL0qjxwCY,148902
22,0.244,0.0519,-22.948,0.0308,0.967,0.89,0.106,0.11,70.613,1YCmpXEadKF2b59ug2EnLF,155300
23,0.483,0.12,-21.107,0.0352,0.976,0.849,0.118,0.162,136.131,1QFcM931KlyYX9FJY3FHKi,186169
24,0.335,0.114,-26.427,0.0515,0.994,0.881,0.0959,0.23,201.294,1L6tqd2SCqt87VnOIeB9ll,159250
25,0.146,0.128,-32.484,0.0409,0.887,0.715,0.0979,0.183,138.55,7vjGnCdZn1GtSiCbJU50UD,151325
26,0.182,0.128,-21.373,0.0361,0.986,0.911,0.111,0.0399,178.993,6EleG2zOQ2Xr5sFB2oNH5v,142000
27,0.326,0.0322,-30.032,0.0401,0.977,0.914,0.108,0.0358,132.958,2Q9N9cQwx192SGQiTok3zX,172005
28,0.23,0.19,-23.091,0.0336,0.972,0.933,0.116,0.214,137.533,5HZqFMDgXG7DKgWCQM1Lhn,164727
29,0.191,0.0117,-30.519,0.0451,0.868,0.811,0.107,0.205,137.305,3PhSUZirlXNJUD3S15zKiK,32016
30,0.434,0.196,-18.219,0.0357,0.827,0.775,0.119,0.372,120.253,40WiMja40Sozb68ERpKicF,36016
31,0.326,0.186,-19.274,0.0336,0.913,0.945,0.139,0.154,60.319,2Q3YTsEotsHwqmZZY5A1ZC,54016
32,0.421,0.0598,-19.876,0.0361,0.938,0.886,0.119,0.0367,117.866,2RWpc0eFTxNSwmU5a3qg4k,206383
33,0.431,0.0687,-28.273,0.034,0.914,0.889,0.102,0.0597,155.961,3Lpgpoh0KjKFc6QtbmB7mM,118462
34,0.326,0.0306,-27.029,0.0499,0.993,0.894,0.098,0.177,70.428,2Hn0JrLlbh578sPVpIgOaK,162125
35,0.0817,0.305,-14.286,0.034,0.858,0.913,0.0986,0.0389,73.24,5idBeCqI7RwKQ1LTHi9Wnt,193461
36,0.316,0.0501,-21.517,0.0412,0.988,0.765,0.0878,0.0716,117.1,2lSw5r0g596XmUTvUvJvFm,184567
37,0.0955,0.111,-20.946,0.0346,0.912,0.883,0.119,0.0305,83.578,2fYMcyuExDGaPs7vZdiOpA,161706
38,0.451,0.00498,-28.597,0.0497,0.995,0.857,0.143,0.215,73.042,6nWF6bARVUgjypHuryqwYH,122974
39,0.372,0.0971,-29.418,0.0537,0.988,0.924,0.108,0.141,200.153,6L358JaOy3VeD3m8XoYb1u,142050
40,0.324,0.216,-21.57,0.0369,0.915,0.913,0.0861,0.201,71.669,50Iwwf6IgHoGRnkddlidgE,109091
41,0.369,0.000732,-41.468,0.112,0.994,0.971,0.0902,0.432,67.9,6SC0KZafAirXdxp1e3ugUm,144000
42,0.286,0.0988,-21.509,0.0389,0.977,0.934,0.146,0.108,82.808,5EQFsfVVCix0tI9EO1t7X9,46554
43,0.271,0.059,-19.206,0.0357,0.985,0.681,0.114,0.185,72.273,5luLp29kDvjonT3XLIAdWT,56156
44,0.488,0.053,-26.974,0.0613,0.996,0.938,0.1,0.558,137.593,0lsrHRHwFJBAq5IMtJoSfh,125591
45,0.442,0.0189,-26.246,0.0503,0.995,0.917,0.119,0.172,73.515,63cLmM2GSwybfnPxyWF2Vg,136792
46,0.212,0.122,-21.931,0.0362,0.902,0.916,0.0984,0.0755,82.091,4iC8dvtklqImnDDvPfqxiN,135273
47,0.386,0.0134,-21.259,0.033,0.992,0.939,0.107,0.11,71.298,7zc4KpeOdj7Zu8B2DtOGqq,172364
48,0.443,0.0511,-17.199,0.0315,0.963,0.91,0.108,0.0361,95.027,2ysyd4MQfQBx4DERTo9mtW,135158
49,0.0612,0.17,-16.914,0.0487,0.923,0.815,0.0849,0.0307,51.162,41culJE2G6ZKnWM3NfJbxf,175552
50,0.0701,0.116,-26.128,0.0432,0.87,0.815,0.104,0.0365,78.192,2UzhudbuB5F5lKg3Fx3rdt,183867
51,0.3,0.0278,-26.154,0.0295,0.952,0.915,0.0706,0.0613,68.914,425G4XZZWnDAc46xiDF8i8,152400
52,0.371,0.0137,-29.604,0.045,0.994,0.903,0.0954,0.0789,70.452,6jGcEW0Zzw8pl3Hbb6FZBA,194676
53,0.582,0.0202,-22.932,0.0407,0.983,0.934,0.0993,0.153,77.429,5TMx3208GbWbVIB4t26fsW,161467
54,0.241,0.0506,-28.949,0.052,0.993,0.926,0.0804,0.157,209.45,2Mib4ofXoB6tVmOb9BKnUo,36589
55,0.328,0.0326,-25.473,0.0496,0.982,0.949,0.111,0.411,209.753,35zxNYuydtTY8eJ9Tz79yr,36589
56,0.498,0.0589,-25.406,0.0447,0.99,0.708,0.101,0.109,105.062,49OeqpnunNlIY7G1ILtd6u,50304
