,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.727,0.576,-9.535,0.308,0.0584,0.000391,0.285,0.54,112.98,09sfouLbAGmNrbxxtz37aH,136167
1,0.697,0.323,-7.609,0.057,0.848,0.0,0.302,0.269,115.957,3SwN8BDBWTzaO2rCF0vZAR,183345
2,0.732,0.354,-11.003,0.3,0.79,0.141,0.0812,0.367,149.988,5sbf6HYyBqS5Kkr7RWOSxb,218400
3,0.759,0.543,-8.387,0.0244,0.579,0.85,0.0722,0.5,105.943,2d9VJKJAE2lmTqyWQVFpeN,333397
4,0.472,0.776,-6.439,0.0661,0.46,0.00077,0.44,0.395,116.015,7gKNBzKt11NgBZJS5SZhnP,168186
5,0.479,0.541,-12.153,0.428,0.718,0.0304,0.294,0.52,108.58,20nb7dVQJq1aQOe8yV7Zx1,172987
6,0.324,0.134,-15.98,0.0396,0.94,0.00127,0.387,0.055,92.29,0wB3UtpTFLO92t3AE1tjbs,233483
7,0.882,0.626,-9.385,0.0541,0.413,0.928,0.0975,0.394,119.982,6dMSUQZxtu3gmOMR2YyETY,280000
8,0.71,0.495,-8.568,0.0486,0.632,0.206,0.113,0.759,119.977,1vn4LMVIX7nUngtRSiAbh0,174000
9,0.805,0.439,-10.241,0.274,0.539,0.469,0.618,0.683,115.013,3ZgSLMVXyWl8Hnv10YtHvJ,204557
10,0.845,0.448,-9.619,0.0699,0.467,0.762,0.106,0.676,129.986,691LszVx09WFxhFlKHgem6,168000
11,0.197,0.28,-8.395,0.0332,0.672,0.000937,0.0905,0.0718,90.639,2EsL4kfdrEZJTKRFhuMDbY,213180
12,0.496,0.489,-13.158,0.375,0.899,0.00998,0.467,0.188,131.433,3Z2Z4e75S85WtIhfau6qTk,249818
13,0.771,0.576,-6.875,0.0391,0.561,0.000116,0.226,0.535,112.993,02nfBodSDuFx0Wp7XV4bn8,208564
14,0.799,0.497,-9.185,0.186,0.578,0.365,0.119,0.458,113.992,3LqH8V4gEdmuH0mUjbceRc,238493
15,0.728,0.567,-9.614,0.0802,0.0504,0.000497,0.136,0.727,101.957,0UYozrO9d1p4j0tgNKLjJs,190654
16,0.801,0.142,-16.834,0.0535,0.845,0.0655,0.116,0.368,79.994,723dCKhbBeqqNtyIaigqAj,144000
17,0.71,0.525,-8.01,0.246,0.0285,0.00771,0.122,0.67,143.998,4oElBWNxGX0Lg8wD1k5uHx,227975
18,0.716,0.435,-9.92,0.168,0.453,0.559,0.125,0.876,92.974,1TBPxsXFzMwCR2KfhZAoLG,157120
19,0.237,0.142,-21.776,0.0342,0.956,0.669,0.112,0.075,137.825,6eDIpPpLQHChSaRUY71Xv7,339760
20,0.117,0.253,-9.389,0.0349,0.861,0.422,0.172,0.0521,94.151,3tiTIOkXIaozD8PLUJzLvF,98022
21,0.674,0.453,-10.293,0.0612,0.155,1.21e-06,0.0933,0.22,128.107,3BGppswSnFNGUSFiJ6rj4n,166875
22,0.793,0.49,-11.191,0.0382,0.625,0.768,0.105,0.439,115.956,0XW3UfxGKohQPt7FxaCuHU,219083
23,0.535,0.544,-10.065,0.181,0.513,0.0183,0.119,0.546,126.271,6xw5ZDyEPNlyxOPpaA5KPo,196000
24,0.479,0.758,-10.771,0.25,0.795,0.00293,0.0972,0.323,139.853,2OGeixhVx0j3TfoUDT1dh1,164000
25,0.748,0.467,-9.435,0.0743,0.747,6.31e-05,0.0895,0.515,146.033,3M7zuMNhqWPKydssvGLymZ,137260
26,0.636,0.622,-7.387,0.0759,0.34,0.0377,0.397,0.615,93.971,5avPepcSOLKq4zJsGu4CBV,198227
27,0.751,0.387,-11.283,0.113,0.762,0.853,0.105,0.32,84.025,0BQW5N0eR3GAJtMBwScrl7,235213
28,0.614,0.231,-14.109,0.363,0.899,0.151,0.105,0.506,92.146,22YCeYW1JKsGNmXXJnSnJi,215812
29,0.814,0.782,-8.178,0.0636,0.0766,0.837,0.109,0.801,117.987,2APRTIVViZequi0ZClGao5,216610
30,0.818,0.601,-8.618,0.0707,0.392,6.83e-05,0.142,0.74,120.053,4l5VP0WCmMeiqY7jYTYXl5,150500
31,0.671,0.375,-10.702,0.0494,0.252,0.00101,0.103,0.427,129.831,3kWYgDFiWcMYnh7YmXqxRJ,195650
32,0.725,0.455,-13.375,0.193,0.412,0.00033,0.104,0.438,129.907,3WX42WpUx33EhAnKnXk8vc,184615
33,0.93,0.556,-10.436,0.0803,0.0439,0.0728,0.0715,0.853,115.025,46e0V2oIuawGeSWLGLrlrD,227304
34,0.805,0.651,-9.774,0.0585,0.00973,0.838,0.104,0.758,127.993,4kNz7ZHG2EvGOuRJ2RzbJI,397500
35,0.681,0.472,-8.348,0.0463,0.253,0.756,0.169,0.388,81.972,1DwabqQdr9uWTx40ByKH3g,128781
36,0.724,0.61,-10.025,0.0358,0.413,0.0651,0.243,0.591,123.985,4TUqDLaBxUQHphes04Kp5k,400867
37,0.637,0.299,-11.314,0.0366,0.742,0.0,0.359,0.364,83.872,6VFKuuqSbA1GpMEosUgTwQ,213214
38,0.69,0.568,-8.658,0.228,0.0271,0.0,0.124,0.375,137.076,2VXcVF8k3GXCFfKu7azVvw,206000
39,0.718,0.394,-11.052,0.24,0.631,7.25e-06,0.115,0.242,80.008,6lrRmCzHA2BgIQlpXMK8em,230738
40,0.754,0.354,-12.028,0.11,0.265,6.28e-05,0.482,0.525,77.972,2wnhPpwZIVGpOFFJ7LkXlr,169583
41,0.691,0.365,-8.855,0.0278,0.261,4.12e-05,0.112,0.452,85.163,0JvlcPzCQZWOacmWyCtYQ0,240000
42,0.748,0.235,-14.066,0.092,0.776,0.922,0.0919,0.6,110.037,0GbOcV7JYQH9fb8UpZ9eVr,196727
43,0.589,0.431,-10.096,0.0475,0.554,0.0317,0.0878,0.159,134.688,5z2XleKRbvbiytGucM5v2D,167143
44,0.839,0.754,-11.015,0.134,0.625,0.0621,0.179,0.876,114.953,4FMYgp0HLhgvWpSeGu7SRK,164602
