,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.698,0.869,-0.884,0.334,0.0747,0.000468,0.126,0.245,174.868,6brzImyRC7tYwWKIvumozI,235000
1,0.57,0.953,1.234,0.184,0.000375,0.167,0.625,0.292,171.954,5RBUNtzNiA5yNudrRGmsTF,186977
2,0.445,0.821,-2.499,0.215,0.0614,8.79e-06,0.409,0.331,177.04,2cYDpurWguY8hgYgGqCfZ8,222373
3,0.728,0.884,-1.012,0.264,0.0923,1.3e-06,0.0302,0.484,87.556,2hPwU9eMUTD05XhjQgSFoM,268618
4,0.528,0.94,-2.045,0.0393,0.00066,0.747,0.105,0.0712,87.013,5fbmIwBwqA1A59lrgCnDkv,308966
5,0.802,0.951,-1.567,0.0537,0.00411,0.203,0.292,0.817,175.042,3Exs92d55QC8PESUE6GJbC,287492
6,0.715,0.916,-2.692,0.108,0.00363,0.327,0.351,0.116,174.053,05FIpnUZ8XuNyZSXpNKF01,237241
7,0.816,0.879,-3.082,0.326,0.0488,1.67e-06,0.0494,0.926,88.096,5UjccMIJkNhont0TGSU0iD,186825
8,0.487,0.82,-5.426,0.133,0.00756,0.00292,0.317,0.154,174.964,3kzi2hRECbR4N4NA3S6Pm7,271543
9,0.678,0.858,-1.896,0.0586,0.000377,0.000332,0.0957,0.56,87.016,01lIHlErewROL70ZEbtawf,244322
10,0.435,0.969,-0.609,0.0533,0.000844,0.115,0.0745,0.037,175.085,3xRgnDNg78AEt7vRgIR4pr,227657
11,0.584,0.993,1.634,0.0527,0.456,0.688,0.129,0.36,175.082,1Mze7crzF9BWo82DiAsmjj,289371
12,0.457,0.918,-2.893,0.0626,0.158,0.0464,0.102,0.0369,173.965,3WpZaVBGjVgR7lxekzkXTY,284138
13,0.491,0.82,-4.782,0.0342,0.0226,0.000131,0.0695,0.413,174.046,2cVJq55ISQ7LNkWibZzRSY,187586
14,0.527,0.945,0.285,0.2,0.00401,0.69,0.169,0.0706,175.181,5lBH3sfJreyd4nwlsquidW,246857
15,0.441,0.921,-3.32,0.0436,0.000526,6.34e-06,0.177,0.182,175.001,2jsmSLoX8y0h6k4YzDCFH1,189720
16,0.523,0.748,-2.165,0.0395,0.226,0.0,0.27,0.329,84.954,365hbjh0wlAIGOfRW5hdZc,187776
17,0.588,0.896,-1.779,0.0525,0.00152,0.00159,0.072,0.112,174.046,0OyM0Z2wdidouJdqQKT4e7,250264
18,0.537,0.906,-1.167,0.0651,0.133,0.0187,0.319,0.504,173.898,507UUx311ghfFTMSuHUeyS,215172
19,0.622,0.954,-0.933,0.0654,0.0147,0.834,0.15,0.474,172.029,7Cc6AryZQcJRVX2ZKYNp5g,217711
20,0.443,0.96,-5.481,0.0661,0.000127,0.875,0.194,0.533,174.011,7C0PzxbsQx59DgGVRsquwJ,307813
21,0.599,0.838,-3.587,0.0582,0.00103,0.0866,0.191,0.11,173.95,5B1ldwDLNpSellE3VgmbaN,215172
22,0.5,0.952,-4.238,0.0458,0.036,0.196,0.139,0.331,173.941,0tYvtz8jKAyC12by9Lmp6L,253793
23,0.652,0.908,-4.796,0.0913,0.0619,0.00232,0.0894,0.557,87.453,4dkRgyXF4JAqAjknCjuRbX,247022
24,0.439,0.924,-2.959,0.0415,0.0509,3.39e-05,0.0911,0.0468,174.048,55d553uqFMy1882OvdPPvV,276373
