,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
47,0.654,0.798,-4.084,0.045,0.188,0.0,0.15,0.576,92.209,1AizuXjEAgOmgwfx5t8JMa,211760
48,0.752,0.544,-10.373,0.0314,0.343,0.0811,0.109,0.723,115.803,0hgEsoAu23ap8V5GFX9Y3i,219267
49,0.674,0.862,-6.431,0.0344,0.00123,0.0643,0.298,0.806,123.004,30oRPNefnSnXEBL2aOifIS,212684
50,0.362,0.68,-9.642,0.0395,0.000265,0.779,0.259,0.672,188.731,3ZvL1n5QU0h9x9zQVO600f,184033
51,0.238,0.958,-6.062,0.102,0.000368,0.365,0.69,0.545,149.13,1wGHZKA8h2rtJ9meNZw7M4,210053
52,0.181,0.282,-18.845,0.0402,0.993,0.947,0.164,0.843,181.692,1XolSpGCF9t7MuZt2AOYte,66907
53,0.601,0.542,-11.356,0.0358,0.884,0.000155,0.166,0.584,130.001,20qsKLOlocPVb18UDd5Csl,352000
54,0.564,0.107,-18.713,0.0293,0.824,0.148,0.157,0.224,111.773,3XxiBb6Snt9B0FGYk3tIWy,243387
55,0.734,0.918,-7.811,0.0688,0.0602,0.0,0.0414,0.82,143.823,2i1QSzAOX3zKIQJKVHbBLm,180067
56,0.563,0.707,-15.064,0.0516,0.0262,0.0786,0.179,0.336,149.791,6Qh9FlJ7kBgJfrBStQpGQD,262240
57,0.678,0.59,-10.638,0.0315,0.0512,0.94,0.0931,0.201,119.99,22Sa5Ekv9lSlkycwEhRq7V,150000
58,0.532,0.048,-18.203,0.0401,0.948,3.34e-06,0.125,0.242,68.301,1zdV024oMgDEJyb6LfWiiC,194000
59,0.535,0.335,-20.301,0.0458,0.991,0.951,0.16,0.863,99.036,3iGUItjBIHwxgrZmj0yjy8,134075
60,0.362,0.918,-6.261,0.0721,0.00186,2.44e-06,0.297,0.58,103.461,7gmUoLtuvFloYgFwT94Lrz,194293
61,0.633,0.414,-11.133,0.0288,0.791,0.0699,0.103,0.292,120.536,64z0EqhVCYOCbEbY7GqECc,354000
62,0.376,0.426,-11.311,0.0593,0.612,0.00504,0.085,0.359,139.229,0FmuZFCMGqGE5TpICps0NM,113096
63,0.791,0.41,-9.732,0.127,0.888,0.901,0.106,0.116,116.98,43twmeJLZBfJUc3kzQqMgg,365816
64,0.703,0.868,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03,1NDxZ7cFAo481dtYWdrUnR,193613
65,0.404,0.254,-9.988,0.0312,0.898,0.000116,0.0866,0.171,112.214,7KgyMa3m40GQaszuUKfxRK,222333
66,0.475,0.803,-8.33,0.0913,0.541,0.667,0.348,0.544,102.236,5yAPZdmy66PrXozM2CVBif,260320
67,0.574,0.459,-16.931,0.0661,0.855,0.949,0.525,0.907,180.151,2EuQ3v8QsNQCSaZljah7PD,223309
68,0.51,0.843,-5.628,0.0275,0.00104,1.21e-05,0.0882,0.479,156.06,53S6LBUl9MUX5uWcToKSHw,274615
69,0.609,0.471,-12.01,0.0517,0.0892,0.000478,0.606,0.19,117.002,2qZGBVIT6R0lBL1E9DkfqM,191730
70,0.415,0.574,-9.318,0.0825,0.685,0.0101,0.508,0.909,179.293,7092fLld7T47cJ3GLV4mGZ,270106
71,0.705,0.566,-12.566,0.129,0.145,1.21e-05,0.223,0.748,167.933,2sgl5rdTqFt8JgUiTdkiBB,232500
72,0.206,0.206,-14.292,0.0358,0.974,2.68e-05,0.116,0.0431,85.943,5jTAPa24zR2XqcqPUTa1ra,240827
73,0.56,0.382,-12.027,0.0689,0.856,0.0,0.0747,0.397,139.474,5gUGQD3xxwbtlm8HJvHdp7,249495
74,0.364,0.262,-9.832,0.0375,0.716,0.0,0.246,0.492,126.832,1zOt80TtY5OcKGnV4enQBr,157627
75,0.501,0.749,-7.549,0.0289,0.000669,0.000451,0.107,0.17,114.002,3oNsBuyCtretMMN3tAExWP,300000
76,0.878,0.338,-13.093,0.27,0.773,0.0,0.128,0.482,120.019,4sTTQorPuvFNffH18tdtm1,168090
77,0.77,0.722,-6.175,0.217,0.681,0.000346,0.869,0.966,88.2,2QdkX1XfDqOeN5lGRIVo03,147366
78,0.594,0.695,-8.872,0.0259,0.19,3.58e-06,0.119,0.172,104.977,4yRlTvPVfEyhXfp6GZurq9,196240
79,0.545,0.496,-8.395,0.0353,0.714,1.54e-06,0.26,0.811,149.022,0UBs8RUXSh4iugUwRufdnO,156253
80,0.566,0.434,-10.296,0.0292,0.00793,0.917,0.119,0.229,160.032,4JyeRLWyxi7ywUz8VM74Qx,112562
81,0.405,0.853,-7.468,0.0613,0.000832,3.13e-05,0.139,0.212,175.016,5Q2Q73BRuLW92yL3EeXiJG,297300
82,0.413,0.915,-4.741,0.125,0.188,0.0,0.526,0.465,164.008,18dWBsEdWdGA1MRPN95H1X,274427
83,0.263,0.802,-10.527,0.0554,8.11e-05,0.0923,0.298,0.361,102.63,0uhvH6micWZHN7n2aB4VqL,135733
84,0.231,0.704,-7.096,0.0394,0.697,0.75,0.158,0.437,138.441,0CNGoBGPtjugjuEAZh9jPl,120840
85,0.49,0.019,-28.26,0.0428,0.932,0.000218,0.25,0.453,139.857,2AOswry6B9No2OnrItonWG,117397
86,0.392,0.722,-5.033,0.0449,0.0831,0.0674,0.174,0.0637,101.497,40f9IDTMDpFf3CnTcPhY5F,314667
87,0.276,0.978,-2.882,0.073,6.72e-06,0.102,0.359,0.434,106.967,0TT5rG6JOdzv5FkujZ4O9B,305659
88,0.447,0.74,-11.217,0.0416,0.0907,9.42e-06,0.177,0.447,111.999,17A7mvuAT52MdTk5fwe3LH,265167
89,0.387,0.436,-6.657,0.0353,0.706,0.0,0.0595,0.671,173.739,2wJUgOINjCBhZXMT9GyyyU,205854
90,0.712,0.419,-11.837,0.0498,0.0163,0.888,0.0701,0.923,113.106,77fJCFtIZYaIKGsYG3CcRf,365747
91,0.138,0.0391,-24.523,0.0396,0.892,0.716,0.107,0.0523,69.741,4V3O5g0CURiuhE4yJJsIgA,77616
92,0.526,0.441,-11.885,0.0433,0.247,0.00352,0.0781,0.414,88.113,4JTLgG1ZHr7gCyUaKTLYzS,294227
93,0.196,0.135,-22.537,0.0603,0.973,0.824,0.119,0.146,80.594,3o8PSl7FoUhMYDvFQp5opt,125200
94,0.641,0.559,-11.132,0.0355,0.404,0.00402,0.0937,0.523,144.982,0Oqc0kKFsQ6MhFOLBNZIGX,202193
95,0.694,0.263,-13.145,0.0322,0.715,0.0117,0.106,0.522,89.563,1CgaREnlrG5QLupknBhcep,269301
96,0.643,0.848,-5.721,0.138,0.124,0.203,0.656,0.614,142.195,6Jf9Myq8Ydqnt9QjPUInks,196773
97,0.642,0.213,-9.649,0.177,0.993,0.0,0.143,0.535,86.78,5fHiRGSpoGPWJ7hG6uHlL7,194090
98,0.273,0.225,-23.2,0.0487,1.66e-05,0.949,0.592,0.0776,99.735,0HMhROFKqcBKNgND504dkn,160394
99,0.433,0.412,-8.077,0.0424,0.164,0.000437,0.206,0.718,182.022,2M77ssXg1yzzzlgQTCiG1w,259120
