danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song_title,explicit,popularity
0.769,0.646,-6.653,0.199,0.0566,0,0.406,0.433,90.079,5dL5jv5GSCRoDhTtnY8maL,278693,"['Ja Rule', 'Ashanti']",Mesmerize,TRUE,62
0.422,0.289,-16.793,0.0422,0.981,0.877,0.0706,0.516,107.438,11adQEQZ0iMekdOxbUTcmX,307133,"['Ludwig van Beethoven', 'Annie Fischer']","Piano Sonata No. 3 in C Major, Op. 2, No. 3: IV. Allegro assai",FALSE,0
0.572,0.778,-5.208,0.233,0.00638,0,0.0563,0.54,168.073,0Oa9mHOnH14GZ4toWwkf4c,225520,"['G-Eazy', 'Kehlani']",Good Life (with G-Eazy & Kehlani),FALSE,64
0.595,0.726,-6.337,0.282,0.106,0,0.131,0.322,106.174,1zQnEunz8U8uOuOaSCxoJW,308812,"['Los WaraOs', 'The Cypher Effect']",Más Fuerte / Untitled (TCE Mic Check),TRUE,10
0.811,0.467,-7.277,0.304,0.253,0.00281,0.114,0.147,138.02,3v7Of6tUoqr6K6uvKIsJZ7,89130,"['Skofi', 'Skyfarmer']",Bunker,FALSE,16
0.804,0.413,-15.954,0.0397,0.356,6.34E-06,0.146,0.72,109.977,3J5NN2yxIvqzG5WbpCID1D,234533,['Rainmakers'],Miss Maganda,FALSE,24
0.371,0.165,-14.972,0.0309,0.957,0.00612,0.112,0.186,96.986,7eTCOQlo6rLjSbCeu0Dm9C,215477,"['Clara Bellar', 'Dori Caymmi']",Plus fort que nous,FALSE,1
0.586,0.815,-6.481,0.036,0.035,0.0564,0.0925,0.618,144.407,03yokxy2Blk8eogtmtvfa8,227000,['Buddy Dee & The Ghostriders'],Take Me to the Mountains,FALSE,0
0.243,0.21,-15.848,0.0395,0.857,0,0.358,0.149,94.998,7ehev4SnmCKwN2Qy5LFX5J,166693,"['Irwin Kostal', 'Julie Andrews']",Prelude / The Sound Of Music - Medley,FALSE,48
0.439,0.601,-9.983,0.0318,0.00673,7.42E-06,0.137,0.754,142.887,2w7RtPiXJiOSVOTbW5ncIo,145840,['Ghost Dance'],Heart Full Of Soul,FALSE,0
0.49,0.974,-3.534,0.174,0.00011,0.000987,0.253,0.274,166.079,4phlqfMeDruW6YtBHE2QuQ,203427,['M.A.S.A.C.R.E'],Sentencia,FALSE,2
0.172,0.919,-27.288,0.0732,0.836,0.975,0.919,0.0193,76.297,6VH9ySsMuBJhwm7vkBZ7hF,179347,['Karlchens Spieluhrenorchester'],Funkelndes Wasser,FALSE,2
0.766,0.633,-5.432,0.134,0.545,1.44E-05,0.13,0.615,90.088,6Zpa7h8uE0qeHlF0qQq0BE,208048,['Miwata'],Honig,FALSE,35
0.641,0.65,-6.795,0.0529,0.00169,2.97E-05,0.214,0.516,133.934,5wvLVrLJerIw06W4KauyZq,252389,"['J emm Dahon', 'MackyDogg', 'SHRLYANNE', 'Hood 047']",Tayo na Agad,FALSE,13
0.633,0.184,-13.316,0.0467,0.607,1.05E-06,0.115,0.221,106.876,5Pg7P6GJ6oRlBCCwJYbzio,191960,['Karate'],Remain Relaxed,FALSE,13
0.713,0.689,-5.99,0.255,0.16,0,0.136,0.63,156.934,1oc92BMKYkNxK17C2GtyRM,171319,['Polo G'],Distraction,TRUE,82
0.585,0.928,-4.939,0.0607,0.0043,0,0.275,0.547,104.007,1wXOOkKWKyo5WAoKjmASsd,196052,['Skindred'],That's My Jam,FALSE,39
0.83,0.398,-14.846,0.408,0.0425,0,0.635,0.597,110.01,74xPZW1tbiYpL4A42tRUQJ,121443,"['$peedyyy', 'Remble']",BeatBox Freestyle,TRUE,34
0.75,0.361,-13.584,0.957,0.554,0,0.313,0.486,81.145,0t3uXMNUxqxCgE3iULGgYr,203964,['Tommy Jaud'],Kapitel 17 - Der Löwe büllt,FALSE,16
0.953,0.344,-16.675,0.33,0.0434,0.00543,0.203,0.608,119.045,5OPw4oPYtoE9n5W4js5jw1,146638,['RS'],The Shooter,TRUE,2
0.654,0.798,-4.084,0.045,0.188,0,0.15,0.576,92.209,1AizuXjEAgOmgwfx5t8JMa,211760,"['Rudimental', 'Jess Glynne', 'Macklemore', 'Dan Caplen']",These Days,FALSE,0
0.752,0.544,-10.373,0.0314,0.343,0.0811,0.109,0.723,115.803,0hgEsoAu23ap8V5GFX9Y3i,219267,['Death Cab for Cutie'],Title and Registration,FALSE,54
0.674,0.862,-6.431,0.0344,0.00123,0.0643,0.298,0.806,123.004,30oRPNefnSnXEBL2aOifIS,212684,"['Raze', 'Rob Made']",Break 4 Love - Rob Made Disco Edit,FALSE,39
0.362,0.68,-9.642,0.0395,0.000265,0.779,0.259,0.672,188.731,3ZvL1n5QU0h9x9zQVO600f,184033,['Sing Karaoke Sing'],I'll Be There for You (Karaoke Version) - Originally Performed By the Rembrandts,FALSE,0
0.238,0.958,-6.062,0.102,0.000368,0.365,0.69,0.545,149.13,1wGHZKA8h2rtJ9meNZw7M4,210053,['Nirvana'],"Love Buzz - Live In Melbourne, Australia For Triple J/1992",FALSE,24
0.181,0.282,-18.845,0.0402,0.993,0.947,0.164,0.843,181.692,1XolSpGCF9t7MuZt2AOYte,66907,"['Johann Sebastian Bach', 'Lang Lang']","Goldberg Variations, BWV 988: Variatio 6 Canone alla Seconda. a 1 Clav. - Live at Thomaskirche Leipzig / 2020",FALSE,8
0.601,0.542,-11.356,0.0358,0.884,0.000155,0.166,0.584,130.001,20qsKLOlocPVb18UDd5Csl,352000,"['Jeff Hurley', 'Maeve McCambridge', 'Alan Watts']",Sleep Now,FALSE,6
0.564,0.107,-18.713,0.0293,0.824,0.148,0.157,0.224,111.773,3XxiBb6Snt9B0FGYk3tIWy,243387,['Ian Fisher'],My Eyes Have Seen the Glory,FALSE,1
0.734,0.918,-7.811,0.0688,0.0602,0,0.0414,0.82,143.823,2i1QSzAOX3zKIQJKVHbBLm,180067,['The Miracles'],Love Machine - Pt. 1,FALSE,35
0.563,0.707,-15.064,0.0516,0.0262,0.0786,0.179,0.336,149.791,6Qh9FlJ7kBgJfrBStQpGQD,262240,['Hardstyle Germany'],Detonate,FALSE,11
0.678,0.59,-10.638,0.0315,0.0512,0.94,0.0931,0.201,119.99,22Sa5Ekv9lSlkycwEhRq7V,150000,['Rainman'],Prisms,FALSE,0
0.532,0.048,-18.203,0.0401,0.948,3.34E-06,0.125,0.242,68.301,1zdV024oMgDEJyb6LfWiiC,194000,['Peggy Lee'],Everybody Loves Somebody,FALSE,18
0.535,0.335,-20.301,0.0458,0.991,0.951,0.16,0.863,99.036,3iGUItjBIHwxgrZmj0yjy8,134075,['Folk Piano Folks'],The Snow Shoe Tramp,FALSE,11
0.362,0.918,-6.261,0.0721,0.00186,2.44E-06,0.297,0.58,103.461,7gmUoLtuvFloYgFwT94Lrz,194293,['BluefisH'],Come Take My Hand,FALSE,1
0.633,0.414,-11.133,0.0288,0.791,0.0699,0.103,0.292,120.536,64z0EqhVCYOCbEbY7GqECc,354000,['Mark Knopfler'],5:15 AM,FALSE,41
0.376,0.426,-11.311,0.0593,0.612,0.00504,0.085,0.359,139.229,0FmuZFCMGqGE5TpICps0NM,113096,['Beícoli'],The Picture,FALSE,9
0.791,0.41,-9.732,0.127,0.888,0.901,0.106,0.116,116.98,43twmeJLZBfJUc3kzQqMgg,365816,"['KIDSØ', 'The Mountain Howl']",Sparkle - The Mountain Howl Remix,FALSE,10
0.703,0.868,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03,1NDxZ7cFAo481dtYWdrUnR,193613,"['Maggie Lindemann', 'Cheat Codes', 'CADE']",Pretty Girl - Cheat Codes X CADE Remix,TRUE,72
0.404,0.254,-9.988,0.0312,0.898,0.000116,0.0866,0.171,112.214,7KgyMa3m40GQaszuUKfxRK,222333,['Charles Lew'],Even the Praise Comes from You,FALSE,0
0.475,0.803,-8.33,0.0913,0.541,0.667,0.348,0.544,102.236,5yAPZdmy66PrXozM2CVBif,260320,['Groupa'],Lavalek,FALSE,0
0.574,0.459,-16.931,0.0661,0.855,0.949,0.525,0.907,180.151,2EuQ3v8QsNQCSaZljah7PD,223309,['Kanooma Beat Project'],Maverick,FALSE,2
0.51,0.843,-5.628,0.0275,0.00104,1.21E-05,0.0882,0.479,156.06,53S6LBUl9MUX5uWcToKSHw,274615,['Five Finger Death Punch'],Blue On Black,TRUE,45
0.609,0.471,-12.01,0.0517,0.0892,0.000478,0.606,0.19,117.002,2qZGBVIT6R0lBL1E9DkfqM,191730,['Clarence James'],I'm Melting,FALSE,24
0.415,0.574,-9.318,0.0825,0.685,0.0101,0.508,0.909,179.293,7092fLld7T47cJ3GLV4mGZ,270106,"['S. P. Balasubrahmanyam', 'K. S. Chithra']",Poothendralum,FALSE,0
0.705,0.566,-12.566,0.129,0.145,1.21E-05,0.223,0.748,167.933,2sgl5rdTqFt8JgUiTdkiBB,232500,"['MDRD', 'Lynat', 'Miguel Gallegos']",Flying High - Miguel Gallegos Remix,FALSE,2
0.206,0.206,-14.292,0.0358,0.974,2.68E-05,0.116,0.0431,85.943,5jTAPa24zR2XqcqPUTa1ra,240827,"[""Ensemble vocal l'Alliance""]",Psaume de la création,FALSE,27
0.56,0.382,-12.027,0.0689,0.856,0,0.0747,0.397,139.474,5gUGQD3xxwbtlm8HJvHdp7,249495,['Shastry Brothers'],Sudarshana Stuti,FALSE,1
0.364,0.262,-9.832,0.0375,0.716,0,0.246,0.492,126.832,1zOt80TtY5OcKGnV4enQBr,157627,['The ZOE Group'],This Is How We Overcome,FALSE,5
0.501,0.749,-7.549,0.0289,0.000669,0.000451,0.107,0.17,114.002,3oNsBuyCtretMMN3tAExWP,300000,['Minuit Machine'],Everlasting,FALSE,29
0.878,0.338,-13.093,0.27,0.773,0,0.128,0.482,120.019,4sTTQorPuvFNffH18tdtm1,168090,['Chris Travis'],Drop Down,TRUE,26
0.77,0.722,-6.175,0.217,0.681,0.000346,0.869,0.966,88.2,2QdkX1XfDqOeN5lGRIVo03,147366,['Jimmy Shand And His Band'],The Bluebell Polka,FALSE,0
0.594,0.695,-8.872,0.0259,0.19,3.58E-06,0.119,0.172,104.977,4yRlTvPVfEyhXfp6GZurq9,196240,['Austin Plaine'],Never Come Back Again,FALSE,55
0.545,0.496,-8.395,0.0353,0.714,1.54E-06,0.26,0.811,149.022,0UBs8RUXSh4iugUwRufdnO,156253,['Orig. Grenzland Sextett'],Wo der Wildbach rauscht,FALSE,11
0.566,0.434,-10.296,0.0292,0.00793,0.917,0.119,0.229,160.032,4JyeRLWyxi7ywUz8VM74Qx,112562,"['Lofi Fruits Music', 'Chill Fruits Music']",Korra Ending Theme,FALSE,43
0.405,0.853,-7.468,0.0613,0.000832,3.13E-05,0.139,0.212,175.016,5Q2Q73BRuLW92yL3EeXiJG,297300,['Metalhonic'],Dance of the Dead,TRUE,3
0.413,0.915,-4.741,0.125,0.188,0,0.526,0.465,164.008,18dWBsEdWdGA1MRPN95H1X,274427,"['Void_Chords', 'LIO']",FLARE,FALSE,49
0.263,0.802,-10.527,0.0554,8.11E-05,0.0923,0.298,0.361,102.63,0uhvH6micWZHN7n2aB4VqL,135733,['Bold'],Wise Up,FALSE,18
0.231,0.704,-7.096,0.0394,0.697,0.75,0.158,0.437,138.441,0CNGoBGPtjugjuEAZh9jPl,120840,['Western Tower'],A Fistfull of Dollars,FALSE,12
0.49,0.019,-28.26,0.0428,0.932,0.000218,0.25,0.453,139.857,2AOswry6B9No2OnrItonWG,117397,['awfultune'],You Look Rly Cute,FALSE,30
0.392,0.722,-5.033,0.0449,0.0831,0.0674,0.174,0.0637,101.497,40f9IDTMDpFf3CnTcPhY5F,314667,['Mt. Eden'],Oh That I Had,FALSE,43
